224,3,3,32,2,112,12544,32,27
112,32,1,64,1,112,12544,64,32
56,64,1,128,1,56,3136,128,64
56,128,1,128,1,56,3136,128,128
28,128,1,256,1,28,784,256,128
28,256,1,256,1,28,784,256,256
14,256,1,512,1,14,196,512,256
14,512,1,512,1,14,196,512,512
14,512,1,512,1,14,196,512,512
14,512,1,512,1,14,196,512,512
14,512,1,512,1,14,196,512,512
14,512,1,512,1,14,196,512,512
7,512,1,1024,1,7,49,1024,512
7,1024,1,1024,1,7,49,1024,1024
1,1024,1,1000,1,1,1,1000,1024
