224,3,3,2,112,12544,32,27
112,32,3,1,112,12544,32,288
112,32,1,1,112,12544,64,32
112,64,3,2,56,3136,64,576
56,64,1,1,56,3136,128,64
56,128,3,1,56,3136,128,1152
56,128,1,1,56,3136,128,128
56,128,3,2,28,784,128,1152
28,128,1,1,28,784,256,128
28,256,3,1,28,784,256,2304
28,256,1,1,28,784,256,256
28,256,3,2,14,196,256,2304
14,256,1,1,14,196,512,256
14,512,3,1,14,196,512,4608
14,512,1,1,14,196,512,512
14,512,3,1,14,196,512,4608
14,512,1,1,14,196,512,512
14,512,3,1,14,196,512,4608
14,512,1,1,14,196,512,512
14,512,3,1,14,196,512,4608
14,512,1,1,14,196,512,512
14,512,3,1,14,196,512,4608
14,512,1,1,14,196,512,512
14,512,3,2,7,49,512,4608
7,512,1,1,7,49,1024,512
7,1024,3,1,7,49,1024,9216
7,1024,1,1,7,49,1024,1024
1,1024,1,1,1,1,1001,1024
