28,32,1,32,1,28,784,32,32,0.25798013
28,32,1,32,2,15,225,32,32,0.18265772
28,32,1,32,4,8,64,32,32,0.029238637
28,32,1,64,1,28,784,64,32,0.25856208
28,32,1,64,2,15,225,64,32,0.069136564
28,32,1,64,4,8,64,64,32,0.030957706
28,32,1,92,1,28,784,92,32,0.62234072
28,32,1,92,2,15,225,92,32,0.32840625
28,32,1,92,4,8,64,92,32,0.036547251
28,32,1,128,1,28,784,128,32,0.48932955
28,32,1,128,2,15,225,128,32,0.35343349
28,32,1,128,4,8,64,128,32,0.044059943
28,32,1,192,1,28,784,192,32,0.93742879
28,32,1,192,2,15,225,192,32,0.4266428
28,32,1,192,4,8,64,192,32,0.102973736
28,32,1,256,1,28,784,256,32,0.97992131
28,32,1,256,2,15,225,256,32,0.32217543
28,32,1,256,4,8,64,256,32,0.082406719
28,32,3,32,1,26,676,32,288,0.95160464
28,32,3,32,2,14,196,32,288,0.26609692
28,32,3,32,4,8,64,32,288,0.28285256
28,32,3,64,1,26,676,64,288,1.4966059
28,32,3,64,2,14,196,64,288,0.44290576
28,32,3,64,4,8,64,64,288,0.17811512
28,32,3,92,1,26,676,92,288,1.8663193
28,32,3,92,2,14,196,92,288,0.61548162
28,32,3,92,4,8,64,92,288,0.30872278
28,32,3,128,1,26,676,128,288,2.3944248
28,32,3,128,2,14,196,128,288,0.79886706
28,32,3,128,4,8,64,128,288,0.37197679
28,32,3,192,1,26,676,192,288,3.3322683
28,32,3,192,2,14,196,192,288,0.9746928
28,32,3,192,4,8,64,192,288,0.412676
28,32,3,256,1,26,676,256,288,4.6200728
28,32,3,256,2,14,196,256,288,1.3487115
28,32,3,256,4,8,64,256,288,0.57352811
28,32,5,32,1,24,576,32,800,1.9234182
28,32,5,32,2,13,169,32,800,0.62115083
28,32,5,32,4,7,49,32,800,0.26464487
28,32,5,64,1,24,576,64,800,3.2417666
28,32,5,64,2,13,169,64,800,0.95952142
28,32,5,64,4,7,49,64,800,0.42756601
28,32,5,92,1,24,576,92,800,4.1818136
28,32,5,92,2,13,169,92,800,1.1548713
28,32,5,92,4,7,49,92,800,0.54917435
28,32,5,128,1,24,576,128,800,6.461453
28,32,5,128,2,13,169,128,800,1.6052215
28,32,5,128,4,7,49,128,800,0.57760967
28,32,5,192,1,24,576,192,800,10.1089235
28,32,5,192,2,13,169,192,800,2.6302445
28,32,5,192,4,7,49,192,800,0.84853508
28,32,5,256,1,24,576,256,800,14.052341
28,32,5,256,2,13,169,256,800,3.6298425
28,32,5,256,4,7,49,256,800,1.2079813
28,32,7,32,1,22,484,32,1568,3.22389
28,32,7,32,2,12,144,32,1568,0.97515949
28,32,7,32,4,7,49,32,1568,0.34864003
28,32,7,64,1,22,484,64,1568,6.2078019
28,32,7,64,2,12,144,64,1568,1.8366568
28,32,7,64,4,7,49,64,1568,0.64325589
28,32,7,92,1,22,484,92,1568,8.9335653
28,32,7,92,2,12,144,92,1568,2.540127
28,32,7,92,4,7,49,92,1568,0.85732874
28,32,7,128,1,22,484,128,1568,12.109306
28,32,7,128,2,12,144,128,1568,3.5981234
28,32,7,128,4,7,49,128,1568,1.1789629
28,32,7,192,1,22,484,192,1568,17.358043
28,32,7,192,2,12,144,192,1568,4.9543494
28,32,7,192,4,7,49,192,1568,1.7054638
28,32,7,256,1,22,484,256,1568,23.633159
28,32,7,256,2,12,144,256,1568,6.781582
28,32,7,256,4,7,49,256,1568,2.2979567
28,32,11,32,1,18,324,32,3872,6.4427176
28,32,11,32,2,10,100,32,3872,1.8784103
