28,128,11,32,2,10,100,32,15488,0.0793422
28,128,11,64,2,10,100,64,15488,0.07439355
28,128,11,92,2,10,100,92,15488,0.1034742
28,128,11,128,2,10,100,128,15488,0.0695325
28,128,11,192,2,10,100,192,15488,0.0742197
28,128,11,256,2,10,100,256,15488,0.0774318
28,192,1,32,2,15,225,32,192,0.0455739
28,192,1,64,2,15,225,64,192,0.0432297
28,192,1,92,2,15,225,92,192,0.04444515
28,192,1,128,2,15,225,128,192,0.0466152
28,192,1,192,2,15,225,192,192,0.04366365
28,192,1,256,2,15,225,256,192,0.047397
28,192,3,32,2,14,196,32,1728,0.06883785
28,192,3,64,2,14,196,64,1728,0.068925
28,192,3,92,2,14,196,92,1728,0.1030398
28,192,3,128,2,14,196,128,1728,0.0746541
28,192,3,192,2,14,196,192,1728,0.06953265
28,192,3,256,2,14,196,256,1728,0.0738729
28,192,5,32,2,13,169,32,4800,0.06788295
28,192,5,64,2,13,169,64,4800,0.0696192
28,192,5,92,2,13,169,92,4800,0.1021716
28,192,5,128,2,13,169,128,4800,0.0667545
28,192,5,192,2,13,169,192,4800,0.063543
28,192,5,256,2,13,169,256,4800,0.0646713
28,192,7,32,2,12,144,32,9408,0.0788205
28,192,7,64,2,12,144,64,9408,0.07022685
28,192,7,92,2,12,144,92,9408,0.1056441
28,192,7,128,2,12,144,128,9408,0.0690114
28,192,7,192,2,12,144,192,9408,0.074394
28,192,7,256,2,12,144,256,9408,0.07248405
28,192,11,32,2,10,100,32,23232,0.07066095
28,192,11,64,2,10,100,64,23232,0.08645985
28,192,11,92,2,10,100,92,23232,0.12604395
28,192,11,128,2,10,100,128,23232,0.0798627
28,192,11,192,2,10,100,192,23232,0.0708342
28,192,11,256,2,10,100,256,23232,0.0731781
28,256,1,32,2,15,225,32,256,0.04791735
28,256,1,64,2,15,225,64,256,0.04566045
28,256,1,92,2,15,225,92,256,0.0426219
28,256,1,128,2,15,225,128,256,0.04678935
28,256,1,192,2,15,225,192,256,0.0429699
28,256,1,256,2,15,225,256,256,0.0440112
