28,32,1,0.171124
28,32,2,0.148264
28,64,1,0.174133
28,64,2,0.131424
28,92,1,0.0603588
28,92,2,0.0615164
28,128,1,0.0993638
28,128,2,0.0612849
28,192,1,0.052836
28,192,2,0.0607062
28,256,1,0.174596
28,256,2,0.0649308
56,32,1,0.0618061
56,32,2,0.177605
56,64,1,0.0601856
56,64,2,0.105903
56,92,1,0.132755
56,92,2,0.0631368
56,128,1,0.063889
56,128,2,0.0497688
56,192,1,0.0608798
56,192,2,0.171933
56,256,1,0.0512157
56,256,2,0.135591
112,32,1,0.133797
112,32,2,0.0695028
112,64,1,0.118056
112,64,2,0.0950234
112,92,1,0.0582758
112,92,2,0.133681
112,128,1,0.0559604
112,128,2,0.0610536
112,192,1,0.0596644
112,192,2,0.0450813
112,256,1,0.0605908
112,256,2,0.0498842
224,32,1,0.0603011
224,32,2,0.0500002
224,64,1,0.118982
224,64,2,0.103241
224,92,1,0.0587386
224,92,2,0.0536461
224,128,1,0.09838
224,128,2,0.174827
224,192,1,0.0657987
224,192,2,0.0680556
224,256,1,0.134896
224,256,2,0.0504049
