28,32,1,1,28,784,32,32,1.38084
28,32,1,2,15,225,32,32,0.5603
28,32,1,4,8,64,32,32,0.340162
28,32,1,1,28,784,64,32,1.08015
28,32,1,2,15,225,64,32,0.523785
28,32,1,4,8,64,64,32,0.211111
28,32,1,1,28,784,92,32,1.18148
28,32,1,2,15,225,92,32,0.648379
28,32,1,4,8,64,92,32,0.311689
28,32,1,1,28,784,128,32,1.58322
28,32,1,2,15,225,128,32,0.791145
28,32,1,4,8,64,128,32,0.354803
28,32,1,1,28,784,192,32,2.52725
28,32,1,2,15,225,192,32,0.916666
28,32,1,4,8,64,192,32,0.321585
28,32,1,1,28,784,256,32,6.66886
28,32,1,2,15,225,256,32,0.565161
28,32,1,4,8,64,256,32,0.280092
28,32,3,1,26,676,32,288,0.990103
28,32,3,2,14,196,32,288,0.546875
28,32,3,4,8,64,32,288,0.412152
28,32,3,1,26,676,64,288,3.15382
28,32,3,2,14,196,64,288,0.731539
28,32,3,4,8,64,64,288,0.569907
28,32,3,1,26,676,92,288,2.63368
28,32,3,2,14,196,92,288,1.09757
28,32,3,4,8,64,92,288,0.415972
28,32,3,1,26,676,128,288,6.20034
28,32,3,2,14,196,128,288,0.883216
28,32,3,4,8,64,128,288,0.965971
28,32,3,1,26,676,192,288,2.13744
28,32,3,2,14,196,192,288,1.69415
28,32,3,4,8,64,192,288,0.739062
28,32,3,1,26,676,256,288,3.20156
28,32,3,2,14,196,256,288,2.61146
28,32,3,4,8,64,256,288,1.38825
28,32,5,1,24,576,32,800,1.92072
28,32,5,2,13,169,32,800,0.528009
28,32,5,4,7,49,32,800,0.778645
28,32,5,1,24,576,64,800,4.76498
28,32,5,2,13,169,64,800,3.6728
28,32,5,4,7,49,64,800,0.603067
28,32,5,1,24,576,92,800,3.46938
28,32,5,2,13,169,92,800,2.63622
28,32,5,4,7,49,92,800,0.628298
28,32,5,1,24,576,128,800,5.3802
28,32,5,2,13,169,128,800,3.27268
28,32,5,4,7,49,128,800,3.02349
28,32,5,1,24,576,192,800,5.33026
28,32,5,2,13,169,192,800,4.37887
28,32,5,4,7,49,192,800,1.78403
28,32,5,1,24,576,256,800,6.40983
28,32,5,2,13,169,256,800,4.67546
28,32,5,4,7,49,256,800,5.04924
28,32,7,1,22,484,32,1568,2.97303
28,32,7,2,12,144,32,1568,1.98293
28,32,7,4,7,49,32,1568,1.23889
28,32,7,1,22,484,64,1568,4.37002
28,32,7,2,12,144,64,1568,1.96649
28,32,7,4,7,49,64,1568,0.422395
28,32,7,1,22,484,92,1568,4.98362
28,32,7,2,12,144,92,1568,2.16012
28,32,7,4,7,49,92,1568,1.49294
28,32,7,1,22,484,128,1568,6.24044
28,32,7,2,12,144,128,1568,4.13425
28,32,7,4,7,49,128,1568,5.27933
28,32,7,1,22,484,192,1568,8.278
28,32,7,2,12,144,192,1568,2.49218
28,32,7,4,7,49,192,1568,2.93536
28,32,7,1,22,484,256,1568,11.5939
28,32,7,2,12,144,256,1568,3.08188
28,32,7,4,7,49,256,1568,4.58773
28,32,11,1,18,324,32,3872,5.65231
28,32,11,2,10,100,32,3872,3.20654
28,32,11,4,6,36,32,3872,1.14705
28,32,11,1,18,324,64,3872,7.8997
28,32,11,2,10,100,64,3872,2.38941
28,32,11,4,6,36,64,3872,2.02893
28,32,11,1,18,324,92,3872,9.43344
28,32,11,2,10,100,92,3872,3.34085
28,32,11,4,6,36,92,3872,2.99733
28,32,11,1,18,324,128,3872,10.8781
28,32,11,2,10,100,128,3872,3.09189
28,32,11,4,6,36,128,3872,2.21962
28,32,11,1,18,324,192,3872,15.8333
28,32,11,2,10,100,192,3872,4.63252
28,32,11,4,6,36,192,3872,1.75
28,32,11,1,18,324,256,3872,19.6057
28,32,11,2,10,100,256,3872,5.08636
28,32,11,4,6,36,256,3872,4.4167
28,64,1,1,28,784,32,64,1.9959
28,64,1,2,15,225,32,64,0.7141
28,64,1,4,8,64,32,64,0.219999
28,64,1,1,28,784,64,64,1.39354
28,64,1,2,15,225,64,64,0.666651
28,64,1,4,8,64,64,64,0.317731
28,64,1,1,28,784,92,64,1.55128
28,64,1,2,15,225,92,64,1.23094
28,64,1,4,8,64,92,64,0.319409
28,64,1,1,28,784,128,64,2.51188
28,64,1,2,15,225,128,64,0.814552
28,64,1,4,8,64,128,64,0.372008
28,64,1,1,28,784,192,64,4.35751
28,64,1,2,15,225,192,64,0.870565
28,64,1,4,8,64,192,64,0.351293
28,64,1,1,28,784,256,64,2.29338
28,64,1,2,15,225,256,64,1.09045
28,64,1,4,8,64,256,64,0.668909
28,64,3,1,26,676,32,576,1.56129
28,64,3,2,14,196,32,576,1.75704
28,64,3,4,8,64,32,576,0.532639
28,64,3,1,26,676,64,576,6.6557
28,64,3,2,14,196,64,576,3.73866
28,64,3,4,8,64,64,576,1.62384
28,64,3,1,26,676,92,576,2.95396
28,64,3,2,14,196,92,576,2.51807
28,64,3,4,8,64,92,576,0.793317
28,64,3,1,26,676,128,576,2.4778
