64,192,32,12288,2048,6144,393216,0.321585
784,256,32,200704,25088,8192,6422528,8.52337
784,256,32,200704,25088,8192,6422528,4.80624
784,256,32,200704,25088,8192,6422528,3.98501
784,256,32,200704,25088,8192,6422528,2.78015
784,256,32,200704,25088,8192,6422528,5.6861
784,256,32,200704,25088,8192,6422528,6.3655
784,256,32,200704,25088,8192,6422528,4.67783
784,256,32,200704,25088,8192,6422528,6.66886
225,256,32,57600,7200,8192,1843200,1.39994
225,256,32,57600,7200,8192,1843200,0.820716
225,256,32,57600,7200,8192,1843200,1.05758
225,256,32,57600,7200,8192,1843200,1.06458
225,256,32,57600,7200,8192,1843200,0.595428
225,256,32,57600,7200,8192,1843200,0.639756
225,256,32,57600,7200,8192,1843200,0.685358
225,256,32,57600,7200,8192,1843200,0.565161
64,256,32,16384,2048,8192,524288,0.583564
64,256,32,16384,2048,8192,524288,0.406423
64,256,32,16384,2048,8192,524288,0.527546
64,256,32,16384,2048,8192,524288,0.420138
64,256,32,16384,2048,8192,524288,0.170312
64,256,32,16384,2048,8192,524288,0.20272
64,256,32,16384,2048,8192,524288,0.242187
64,256,32,16384,2048,8192,524288,0.280092
676,32,288,21632,194688,9216,6230016,2.91545
676,32,288,21632,194688,9216,6230016,1.43327
676,32,288,21632,194688,9216,6230016,1.63541
676,32,288,21632,194688,9216,6230016,1.01366
676,32,288,21632,194688,9216,6230016,1.39965
676,32,288,21632,194688,9216,6230016,1.5114
676,32,288,21632,194688,9216,6230016,1.60827
676,32,288,21632,194688,9216,6230016,0.990103
196,32,288,6272,56448,9216,1806336,0.840277
196,32,288,6272,56448,9216,1806336,0.607117
196,32,288,6272,56448,9216,1806336,0.679455
196,32,288,6272,56448,9216,1806336,0.839525
196,32,288,6272,56448,9216,1806336,1.03021
196,32,288,6272,56448,9216,1806336,1.07749
196,32,288,6272,56448,9216,1806336,1.12129
196,32,288,6272,56448,9216,1806336,0.546875
64,32,288,2048,18432,9216,589824,0.341203
64,32,288,2048,18432,9216,589824,0.450231
64,32,288,2048,18432,9216,589824,0.530324
64,32,288,2048,18432,9216,589824,0.893807
64,32,288,2048,18432,9216,589824,0.249653
64,32,288,2048,18432,9216,589824,0.289757
64,32,288,2048,18432,9216,589824,0.346759
64,32,288,2048,18432,9216,589824,0.412152
676,64,288,43264,194688,18432,12460032,5.96695
676,64,288,43264,194688,18432,12460032,3.52147
676,64,288,43264,194688,18432,12460032,2.82181
676,64,288,43264,194688,18432,12460032,2.41672
676,64,288,43264,194688,18432,12460032,3.65619
676,64,288,43264,194688,18432,12460032,3.94924
676,64,288,43264,194688,18432,12460032,4.13454
676,64,288,43264,194688,18432,12460032,3.15382
196,64,288,12544,56448,18432,3612672,2.08756
196,64,288,12544,56448,18432,3612672,1.18871
196,64,288,12544,56448,18432,3612672,1.36921
196,64,288,12544,56448,18432,3612672,1.34757
196,64,288,12544,56448,18432,3612672,1.30156
196,64,288,12544,56448,18432,3612672,1.1886
196,64,288,12544,56448,18432,3612672,0.796932
196,64,288,12544,56448,18432,3612672,0.731539
64,64,288,4096,18432,18432,1179648,0.64074
64,64,288,4096,18432,18432,1179648,0.571816
64,64,288,4096,18432,18432,1179648,0.679687
64,64,288,4096,18432,18432,1179648,0.882465
64,64,288,4096,18432,18432,1179648,0.431597
64,64,288,4096,18432,18432,1179648,0.462268
64,64,288,4096,18432,18432,1179648,0.510242
64,64,288,4096,18432,18432,1179648,0.569907
676,92,288,62192,194688,26496,17911296,9.04559
676,92,288,62192,194688,26496,17911296,4.83981
676,92,288,62192,194688,26496,17911296,3.84056
676,92,288,62192,194688,26496,17911296,4.57748
676,92,288,62192,194688,26496,17911296,3.94577
676,92,288,62192,194688,26496,17911296,4.47019
676,92,288,62192,194688,26496,17911296,3.77963
676,92,288,62192,194688,26496,17911296,2.63368
196,92,288,18032,56448,26496,5193216,1.68472
196,92,288,18032,56448,26496,5193216,1.04456
196,92,288,18032,56448,26496,5193216,1.12697
196,92,288,18032,56448,26496,5193216,0.880149
196,92,288,18032,56448,26496,5193216,2.19896
196,92,288,18032,56448,26496,5193216,2.16256
196,92,288,18032,56448,26496,5193216,1.51175
196,92,288,18032,56448,26496,5193216,1.09757
64,92,288,5888,18432,26496,1695744,0.806365
64,92,288,5888,18432,26496,1695744,0.67824
64,92,288,5888,18432,26496,1695744,0.655497
64,92,288,5888,18432,26496,1695744,0.711168
64,92,288,5888,18432,26496,1695744,0.472106
64,92,288,5888,18432,26496,1695744,0.511111
64,92,288,5888,18432,26496,1695744,0.552488
64,92,288,5888,18432,26496,1695744,0.415972
676,128,288,86528,194688,36864,24920064,14.0349
676,128,288,86528,194688,36864,24920064,7.96955
676,128,288,86528,194688,36864,24920064,7.14669
676,128,288,86528,194688,36864,24920064,3.93101
676,128,288,86528,194688,36864,24920064,7.18309
676,128,288,86528,194688,36864,24920064,8.2688
676,128,288,86528,194688,36864,24920064,8.56897
676,128,288,86528,194688,36864,24920064,6.20034
196,128,288,25088,56448,36864,7225344,3.41851
196,128,288,25088,56448,36864,7225344,2.00764
196,128,288,25088,56448,36864,7225344,1.47367
196,128,288,25088,56448,36864,7225344,1.54329
196,128,288,25088,56448,36864,7225344,1.23895
196,128,288,25088,56448,36864,7225344,1.11765
196,128,288,25088,56448,36864,7225344,0.578645
196,128,288,25088,56448,36864,7225344,0.883216
64,128,288,8192,18432,36864,2359296,1.04838
64,128,288,8192,18432,36864,2359296,0.685242
64,128,288,8192,18432,36864,2359296,0.566782
64,128,288,8192,18432,36864,2359296,0.820601
64,128,288,8192,18432,36864,2359296,0.853818
64,128,288,8192,18432,36864,2359296,0.900057
64,128,288,8192,18432,36864,2359296,1.02471
64,128,288,8192,18432,36864,2359296,0.965971
676,192,288,129792,194688,55296,37380096,18.8326
676,192,288,129792,194688,55296,37380096,10.4303
676,192,288,129792,194688,55296,37380096,6.18778
676,192,288,129792,194688,55296,37380096,4.53668
676,192,288,129792,194688,55296,37380096,10.915
676,192,288,129792,194688,55296,37380096,12.5344
676,192,288,129792,194688,55296,37380096,8.85798
676,192,288,129792,194688,55296,37380096,2.13744
196,192,288,37632,56448,55296,10838016,4.80271
196,192,288,37632,56448,55296,10838016,2.88802
196,192,288,37632,56448,55296,10838016,1.9408
196,192,288,37632,56448,55296,10838016,2.20295
196,192,288,37632,56448,55296,10838016,1.86117
196,192,288,37632,56448,55296,10838016,1.05943
196,192,288,37632,56448,55296,10838016,1.66504
196,192,288,37632,56448,55296,10838016,1.69415
64,192,288,12288,18432,55296,3538944,1.47679
64,192,288,12288,18432,55296,3538944,1.00735
64,192,288,12288,18432,55296,3538944,0.760126
64,192,288,12288,18432,55296,3538944,0.891666
64,192,288,12288,18432,55296,3538944,1.04479
64,192,288,12288,18432,55296,3538944,1.13183
64,192,288,12288,18432,55296,3538944,0.854976
64,192,288,12288,18432,55296,3538944,0.739062
676,256,288,173056,194688,73728,49840128,26.9603
676,256,288,173056,194688,73728,49840128,14.2774
676,256,288,173056,194688,73728,49840128,9.22551
676,256,288,173056,194688,73728,49840128,6.00266
676,256,288,173056,194688,73728,49840128,15.5783
676,256,288,173056,194688,73728,49840128,11.7933
